product_code,product_name,category_name,type_name,description,brand_name,unit_type,purchase_cost,sell_price
"3587925355073","royal Marriage","Body Spray","Body Spray",\N,\N,"Piece","155","230"
"752590041450","royal Marriage","Body Spray","Body Spray",\N,\N,"Piece","225","315"
"8717163994252","Dove Body","Body Spray","Body Spray",\N,\N,"Piece","170","255"
"736211649775","Aris Body Spray","Body Spray","Body Spray",\N,\N,"Piece","180","260"
"6291105542791","HotIce Body Spray","Body Spray","Body Spray",\N,\N,"Piece","170","255"
"6291105542821","HotIce Body Spray","Body Spray","Body Spray",\N,\N,"Piece","170","255"
"8904238301002","Fogg pack","Body Spray","Body Spray",\N,\N,"Piece","90","150"
"8908001158367","Fogg Bodyspray","Body Spray","Body Spray",\N,\N,"Piece","200","330"
"4015001011371","Fa Body Spray","Body Spray","Body Spray",\N,\N,\N,"170","255"
"8904406003660","Lafz Body Spray","Body Spray","Body Spray",\N,\N,"Piece","175","265"
"0006918","Lafz Body Spray","Body Spray","Body Spray",\N,\N,"Piece","185","300"
"6297000226873","yardley ","Body Spray","Body Spray",\N,\N,\N,"160","265"
"4015000615907","Fa Body Spray","Body Spray","Body Spray",\N,\N,\N,"175","255"
"4015001011388","Fa Body Spray","Body Spray","Body Spray",\N,\N,\N,"175","255"
"8690572776230","Fa Body Spray","Body Spray","Body Spray",\N,\N,\N,"175","255"
"8888202066244","Enchanteur Body Spray","Body Spray","Body Spray",\N,\N,\N,"160","245"
"8904006306819","secret Body","Body Spray","Body Spray",\N,\N,\N,"185","300"
"8904406003653","Lafz Body Spray","Body Spray","Body Spray",\N,\N,\N,"175","265"
"8904238301415","FOGG Master","Body Spray","Body Spray",\N,\N,"Piece","225","330"
"8904238301392","FOGG Master","Body Spray","Body Spray",\N,\N,"Piece","225","330"
"8904238301408","FOGG Master","Body Spray","Body Spray",\N,\N,"Piece","225","330"
"8904006302507","Wild Stine Spray","Body Spray","Body Spray",\N,\N,\N,"265","410"
"6291100138081","Al Haramain Bodyspray","Body Spray","Body Spray",\N,\N,"Piece","220","325"
"6291100138234","Al Haramain Bodyspray","Body Spray","Body Spray",\N,\N,"Piece","220","325"
"8710908501708","Dove Body spray","Body Spray","Body Spray",\N,\N,"Piece","160","240"
"8711600786226","Dove Body spray","Body Spray","Body Spray",\N,\N,"Piece","160","240"
"8717644271568","Dove Body spray","Body Spray","Body Spray",\N,\N,"Piece","160","240"
"8717163965030","Dove Body spray","Body Spray","Body Spray",\N,\N,"Piece","160","240"
"8904006307434","Wail stone","Body Spray","Body Spray",\N,\N,\N,"280","420"
"8904006307403","Wail stone CODE","Body Spray","Body Spray",\N,\N,\N,"280","420"
"8904006307410","Wail stone CODE","Body Spray","Body Spray",\N,\N,\N,"280","420"
"8904006307441","Wail stone CODE","Body Spray","Body Spray",\N,\N,\N,"280","420"
"8904238301019","fogg body soray pocket","Body Spray","Body Spray",\N,\N,\N,"85","150"
"0007585","DUBAY pocat","Body Spray","Body Spray",\N,\N,\N,"85","150"
"8904238301422","FOGG Master","Body Spray","Body Spray",\N,\N,"Piece","225","330"
"8904006307342","Wild Stine Spray","Body Spray","Body Spray",\N,\N,"Piece","275","410"
"8904238301316","Ossum Poket","Body Spray","Body Spray",\N,\N,"Piece","80","135"
"8904238301309","Ossum Poket","Body Spray","Body Spray",\N,\N,"Piece","80","135"
"6297000842226","Ossum Body Spray","Body Spray","Body Spray",\N,\N,"Piece","285","400"
"6297000842233","Ossum Body Spray","Body Spray","Body Spray",\N,\N,"Piece","285","400"
"6297000842219","Ossum Body Spray","Body Spray","Body Spray",\N,\N,"Piece","285","400"
"8901725958985","engage Pocket 2in1","Body Spray","Body Spray",\N,\N,"Piece","100","150"
"8712561927482","Dove Body spray","Body Spray","Body Spray",\N,\N,"Piece","265","375"
"8710908559204","Dove Body spray","Body Spray","Body Spray",\N,\N,"Piece","265","375"
"8710908516320","Dove Body spray","Body Spray","Body Spray",\N,\N,"Piece","265","375"
"8717163007037","Dove Body spray","Body Spray","Body Spray",\N,\N,"Piece","265","375"
"8717163997383","Dove Body spray","Body Spray","Body Spray",\N,\N,"Piece","265","375"
"6297000442594","Yardley body spray","Body Spray","Body Spray",\N,\N,"Piece","160","240"
"4015000615884","fa bodyspray","Body Spray","Body Spray",\N,\N,"Piece","175","255"
"5014697027948","Yardley Body Spray","Body Spray","Body Spray",\N,\N,"Piece","185","290"
"6001087363815","Axe Body Spray","Body Spray","Body Spray",\N,\N,"Piece","155","230"
"6001087364621","Axe Body Spray","Body Spray","Body Spray",\N,\N,"Piece","155","230"
"8712561249119","Axe Body Spray","Body Spray","Body Spray",\N,\N,"Piece","155","230"
"8710908052040","Axe Body Spray","Body Spray","Body Spray",\N,\N,"Piece","155","230"
"6001087364669","Axe Body Spray","Body Spray","Body Spray",\N,\N,"Piece","155","230"
"6297000842202","Ossum Body Spray","Body Spray","Body Spray",\N,\N,"Piece","260","400"
"8717163641040","Axe Body Spray","Body Spray","Body Spray",\N,\N,"Piece","155","230"
"8906055790854","Layer Shot WaterGirl","Body Spray","Body Spray",\N,\N,"Piece","215","310"
"8901725959203","Engage Women","Body Spray","Body Spray",\N,\N,"Piece","220","375"
"8904006307397","wild stone","Body Spray","Body Spray",\N,\N,\N,"280","420"
"8888202038531","Enchanteur Soap","SHOAP","Soap",\N,\N,"Piece","75","90"
"6221155017321","Camay Soap ","SHOAP","Soap",\N,\N,"Piece","75","110"
"6221155018175","Camay Soap ","SHOAP","Soap",\N,\N,"Piece","75","110"
"6281031245460","Fa shoap","SHOAP","Soap",\N,\N,\N,"82","115"
"8901138711962","Himalaya Soap","SHOAP","Soap",\N,\N,"Piece","40","60"
"8901725929060","Fiyama Soap","SHOAP","Soap",\N,\N,\N,"85","120"
"8513692165459","sandalina  Soap","SHOAP","Soap",\N,\N,"Piece","40","48"
"8941100501290","Meril soap ","SHOAP","Soap",\N,\N,"Piece","27","34"
"8941100657195","Lux Soap 150g","SHOAP","Soap",\N,\N,"Piece","41","47"
"8941100657201","Lux Soap 150g","SHOAP","Soap",\N,\N,"Piece","41","48"
"8941100656303","Lux Soap 100g","SHOAP","Soap",\N,\N,"Piece","22","34"
"8941100656334","Lux Soap 100g","SHOAP","Soap",\N,\N,"Piece","22","34"
"8941100501726","Meril soap","SHOAP","Soap",\N,\N,"Piece","29","34"
"8941100500187","Meril soap","SHOAP","Soap",\N,\N,"Piece","29","34"
"5011091100055","Acne-Aid Soap","SHOAP","Soap",\N,\N,"Piece","230","310"
"3574661093864","johnsons Soap","SHOAP","Soap",\N,\N,"Piece","55","105"
"3574661093857","johnsons Soap","SHOAP","Soap",\N,\N,"Piece","55","100"
"8853252008957","BLACK SPOT MASK ON FACE","SHOAP","Soap",\N,\N,\N,"55","80"
"0007730","Yardley Soap","SHOAP","Soap",\N,\N,"Piece","100","120"
"6281031091678","Fa soap","SHOAP","Soap",\N,\N,"Piece","85","130"
"8941100502068","meril soap","SHOAP","Soap",\N,\N,\N,"38","48"
"6281006479524","Lux Soap","SHOAP","Soap",\N,\N,"Piece","85","120"
"6221155048172","Camay Soap","SHOAP","Soap",\N,\N,"Piece","120","180"
"6221155048219","Camay Soap","SHOAP","Soap",\N,\N,"Piece","120","180"
"6281001342069","Palmolive Soap","SHOAP","Soap",\N,\N,"Piece","108","160"
"6921199190744","Papaya Soap","SHOAP","Soap",\N,\N,"Piece","150","195"
"3574661094113","johnsons Soap","SHOAP","Soap",\N,\N,"Piece","75","105"
"8904103310849","Acne Star Soap","SHOAP","Soap",\N,\N,"Piece","90","180"
"8941196243135","savlon Sresh","SHOAP","Soap",\N,\N,"Piece","40","48"
"8941196243104","savlon fresh","SHOAP","Soap",\N,\N,\N,"40","48"
"8941100653005","Clear Shampoo","shampoo","Shampoo",\N,\N,"Piece","175","190"
"8941100657812","Sunsilk 375ml","shampoo","Shampoo",\N,\N,"Piece","240","290"
"8941100653050","Clear Man 80ml","shampoo","Shampoo",\N,\N,"Piece","85","99"
"8901030705847","Tresemme Shampoo 185ml","shampoo","Shampoo",\N,\N,"Piece","200","320"
"5012254061275","Tresemme Shampoo","shampoo","Shampoo",\N,\N,"Piece","380","530"
"5012254061190","Tresemme Shampoo","shampoo","Shampoo",\N,\N,"Piece","380","530"
